as_of,ticker,name,sector,industry,currency,quote_type,price,market_cap,shares_outstanding,pe_trailing,pe_forward,pbv,eps_ttm,book_value_per_share,roe,roa,profit_margin,operating_margin,earnings_growth,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_cash,total_debt,dividend_yield,payout_ratio,five_year_avg_dividend_yield,provider,provider_version,schema_version
2026-09-22,DCII,PT DCI Indonesia Tbk,Real Estate,Real Estate Services,IDR,EQUITY,201775.0,480980301250560,2383745900,434.4012,,103.8967,464.49,1942.07,0.2674,0.12902,0.37439,0.47196,0.791,0.64,53.876,1.038,-1581175537664,322515992576,2552706105344,,0.0,,yfinance,0.2.65,1
2026-09-22,DEPO,PT Caturkarda Depo Bangunan Tbk,Consumer Cyclical,Home Improvement Retail,IDR,EQUITY,244.0,1656760041472,6790000000,20.9262,,1.1916,11.66,204.77,0.06021,0.01379,0.02842,0.03159,0.298,0.08,22.095,1.71,61538955264,357932498944,307208126464,0.61,0.0,,yfinance,0.2.65,1
2026-09-22,DEWA,PT Darma Henwa Tbk,Energy,Thermal Coal,IDR,EQUITY,348.0,13588926300160,39048640370,3.0593,208383.23,1.6785,113.75,207.33,0.69129,0.02555,0.6893,0.29006,1.303,0.087,69.347,0.71,-49132089344,862424596480,5624831148032,0.41,0.0,,yfinance,0.2.65,1
2026-09-22,DGWG,PT Delta Giri Wacana Tbk,Basic Materials,Agricultural Inputs,IDR,EQUITY,320.0,1882353041408,5882353000,6.958,,1.686,45.99,189.8,0.25764,0.08379,0.05453,0.09147,0.878,0.518,104.488,1.122,1639000064,155623997440,1208323014656,7.41,0.3261,,yfinance,0.2.65,1
2026-09-22,DILD,PT Intiland Development Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,115.0,1192073232384,10365854185,19.5578,16.4286,0.2108,5.88,545.63,0.02629,0.03032,0.02618,0.19897,2.373,-0.201,44.683,1.154,576895582208,792382603264,3027207716864,,0.0,1.41,yfinance,0.2.65,1
2026-09-22,DKFT,PT Central Omega Resources Tbk,Basic Materials,Other Industrial Metals & Mining,IDR,EQUITY,665.0,3666468143104,5513485875,5.55,5.1154,2.3837,119.82,278.98,0.5056,0.12613,0.41021,0.34578,-0.068,-0.055,33.883,2.738,102686777344,847587966976,519153221632,13.24,0.5008,,yfinance,0.2.65,1
2026-09-22,DLTA,PT Delta Djakarta Tbk,Consumer Defensive,Beverages - Brewers,IDR,EQUITY,1785.0,1429176451072,800659050,9.644,,2.1221,185.09,841.15,0.20311,0.07973,0.20643,0.14441,-0.119,0.18,0.696,1.975,352529645568,736626671616,4692554752,10.14,0.9784,9.1,yfinance,0.2.65,1
2026-09-22,DMAS,PT Puradelta Lestari Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,185.0,8916650950656,48198111100,5.7169,6.3508,1.2726,32.36,145.38,0.23542,0.11767,0.62402,0.45893,3.822,6.113,0.015,4.124,1390531182592,2085029675008,1054170496,8.73,0.5099,14.43,yfinance,0.2.65,1
2026-09-22,DMMX,PT Digital Mediatama Maxima Tbk,Communication Services,Advertising Agencies,IDR,EQUITY,186.0,1350254854144,7259435200,34.0037,,1.9905,5.47,93.44,0.05786,0.02707,0.08437,-0.21894,,-0.695,8.091,2.726,-107662999552,83109257216,55058395136,2.96,1.0073,,yfinance,0.2.65,1
2026-09-22,DMND,PT Diamond Food Indonesia Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,680.0,6438483656704,9468359000,13.0769,,0.9666,52.0,703.48,0.07555,0.0452,0.03945,0.046,0.401,0.215,0.627,3.347,-149753118720,610512994304,42013999104,1.15,0.1442,,yfinance,0.2.65,1
2026-09-22,DNAR,PT Bank Oke Indonesia Tbk,Financial Services,Banks - Regional,IDR,EQUITY,128.0,2162226102272,16892391185,9.8765,,0.553,12.96,231.45,0.05864,0.0167,0.37482,0.44329,0.97,0.361,,,,418872655872,407954030592,,0.0,,yfinance,0.2.65,1
2026-09-22,DNET,PT Indoritel Makmur Internasional Tbk.,Communication Services,Telecom Services,IDR,EQUITY,9775.0,138648599134208,14184000000,124.6811,,8.881,78.4,1100.67,0.07262,0.00575,0.62993,0.09832,-0.509,0.059,44.303,0.973,-467879002112,1209011011584,7043116171264,0.05,0.0,,yfinance,0.2.65,1
2026-09-22,DOID,PT Buma Internasional Grup Tbk,Energy,Thermal Coal,IDR,EQUITY,232.0,1706863362048,7357169432,,1.2577,231999.98,-223.77,0.0,-1.89086,-0.02791,-0.06424,-0.03418,,-0.01,41870.594,0.976,28124928,158459184,1045564416,,0.0,,yfinance,0.2.65,1
2026-09-22,DOOH,PT Era Media Sejahtera Tbk,Communication Services,Advertising Agencies,IDR,EQUITY,382.0,2956256346112,7738891036,36.59,,9.5507,10.44,40.0,0.27623,0.01693,0.35818,-0.12406,10.852,0.255,10.453,6.188,7313643520,227127148544,32354758656,,0.0,,yfinance,0.2.65,1
2026-09-22,DRMA,PT Dharma Polimetal Tbk,Consumer Cyclical,Auto Parts,IDR,EQUITY,960.0,4517647089664,4705882300,6.4869,6.1069,1.6552,147.99,579.99,0.26299,0.12076,0.10998,0.10738,0.417,0.226,12.579,1.837,406714515456,539468496896,362465296384,7.41,0.473,,yfinance,0.2.65,1
2026-09-22,DSNG,PT Dharma Satya Nusantara Tbk,Consumer Defensive,Farm Products,IDR,EQUITY,1545.0,16376757485568,10599842400,8.5044,6.7989,1.3665,181.67,1130.59,0.16749,0.10019,0.1538,0.2431,0.043,0.001,28.307,1.345,598880223232,676925014016,3434108944384,2.85,0.2586,3.13,yfinance,0.2.65,1
2026-09-22,DSSA,PT Dian Swastatika Sentosa Tbk,Energy,Thermal Coal,IDR,EQUITY,1000.0,154732119195648,154732123250,40.1445,,83333.336,24.91,0.01,0.15553,0.05449,0.08457,0.16849,0.021,-0.06,67.404,2.258,-246393104,624564416,1596305536,,0.0,,yfinance,0.2.65,1
2026-09-22,DUTI,PT Duta Pertiwi Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,4800.0,8880000073728,1850000000,14.0845,,0.8629,340.8,5562.36,0.06296,0.03597,0.21261,0.39941,4.683,0.444,0.023,2.765,1198704427008,3629033979904,3005514752,10.0,1.4084,,yfinance,0.2.65,1
2026-09-22,DVLA,PT Darya-Varia Laboratoria Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,IDR,EQUITY,1575.0,1764000006144,1120000000,12.9035,,1.1759,122.06,1339.36,0.09102,0.04335,0.05786,0.08156,-0.098,0.133,0.008,2.154,60622950400,471021289472,119394000,8.13,0.8607,6.01,yfinance,0.2.65,1
2026-09-22,DWGL,PT Dwi Guna Laksana Tbk,Energy,Thermal Coal,IDR,EQUITY,222.0,2054126305280,9252820991,8.82,,3.4359,25.17,64.61,0.48364,0.10067,0.06499,0.07541,0.205,0.173,50.265,1.556,272453255168,722644566016,300506251264,,0.0,,yfinance,0.2.65,1
2026-09-22,EKAD,PT Ekadharma International Tbk,Basic Materials,Specialty Chemicals,IDR,EQUITY,398.0,1390562246656,3493875000,2.7209,,1.1279,146.27,352.88,0.05076,0.03893,0.10407,0.28226,0.677,0.248,2.118,14.002,31290830848,508568207360,26839707648,2.25,,3.95,yfinance,0.2.65,1
2026-09-22,ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Industrials,Marine Shipping,IDR,EQUITY,580.0,5522965659648,9522353845,38.5126,,1.6917,15.06,342.85,0.05021,0.02403,0.14842,0.08314,-0.634,-0.292,16.199,4.026,103989501952,364124012544,429365002240,2.35,0.9429,,yfinance,0.2.65,1
2026-09-22,ELSA,PT Elnusa Tbk,Energy,Oil & Gas Equipment & Services,IDR,EQUITY,690.0,5035965022208,7298500000,6.1662,13.9113,0.9285,111.9,743.17,0.15735,0.05019,0.05401,0.06036,0.636,0.226,8.15,1.446,599250501632,2954776018944,442209992704,6.37,0.3958,5.26,yfinance,0.2.65,1
