as_of,ticker,name,sector,industry,currency,quote_type,price,market_cap,shares_outstanding,pe_trailing,pe_forward,pbv,eps_ttm,book_value_per_share,roe,roa,profit_margin,operating_margin,earnings_growth,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_cash,total_debt,dividend_yield,payout_ratio,five_year_avg_dividend_yield,provider,provider_version,schema_version
2026-09-22,HERO,PT DFI Retail Nusantara Tbk,Consumer Cyclical,Department Stores,IDR,EQUITY,334.0,1397333688320,4183634000,111.7057,,0.8117,2.99,411.48,0.00623,0.03028,0.0284,-0.07033,,0.14,76.735,0.607,296449245184,25590999040,1320982937600,,0.0,,yfinance,0.2.65,1
2026-09-22,HEXA,PT Hexindo Adiperkasa Tbk,Industrials,Industrial Distribution,IDR,EQUITY,4070.0,3418799996928,840000000,13.5059,203500.0,20148.514,301.35,0.2,0.0805,0.03107,0.02768,0.06268,-0.287,-0.078,52.164,1.648,81517904,17397180,88635152,10.52,1.5226,14.82,yfinance,0.2.65,1
2026-09-22,HMSP,PT Hanjaya Mandala Sampoerna Tbk,Consumer Defensive,Tobacco,IDR,EQUITY,640.0,74443569233920,116318076900,8.5322,9.588,2.8591,75.01,223.84,0.34686,0.13665,0.17646,0.2213,9.175,0.128,1.286,1.653,8845946519552,6615893803008,334811987968,8.73,0.7507,7.82,yfinance,0.2.65,1
2026-09-22,HRTA,PT Hartadinata Abadi Tbk,Consumer Cyclical,Luxury Goods,IDR,EQUITY,2120.0,9763155869696,4605262400,7.3392,5.9723,2.6134,288.86,811.19,0.41947,0.13979,0.02101,0.03092,0.341,0.652,111.814,1.689,398544601088,983698309120,4189281845248,1.88,0.1385,3.12,yfinance,0.2.65,1
2026-09-22,HRUM,PT Harum Energy Tbk,Basic Materials,Other Industrial Metals & Mining,IDR,EQUITY,885.0,11636472545280,13148556400,14.7796,5.1418,12123.288,59.88,0.07,0.07237,0.04215,0.02491,0.18827,0.145,1.12,29.561,1.852,-582779200,144936320,575749248,,0.0,,yfinance,0.2.65,1
2026-09-22,HUMI,PT Humpuss Maritim Internasional Tbk,Industrials,Marine Shipping,IDR,EQUITY,128.0,2312162770944,18063771579,241.5094,,15999.999,0.53,0.01,0.00422,0.01622,0.0035,0.06782,0.01,0.129,71.962,1.109,-29444786,33439990,124571752,0.12,0.0,,yfinance,0.2.65,1
2026-09-22,IATA,PT MNC Energy Investments Tbk,Energy,Thermal Coal,IDR,EQUITY,108.0,3377789665280,31275829981,60.6742,,26999.998,1.78,0.0,0.02535,0.02854,0.04247,0.2314,-0.877,-0.327,43.973,0.774,-9570255,1208803,57760580,,0.0,,yfinance,0.2.65,1
2026-09-22,ICBP,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,6700.0,78134783246336,11661908000,10.5832,7.3987,1.4808,633.08,4524.65,0.12555,0.07311,0.09343,0.18608,-0.608,0.157,66.653,3.581,7778453684224,36117395013632,50171689828352,3.9,0.4186,2.31,yfinance,0.2.65,1
2026-09-22,IFII,PT Indonesia Fibreboard Industry Tbk,Basic Materials,Lumber & Wood Production,IDR,EQUITY,224.0,2108287877120,9412000000,14.9234,,1.4987,15.01,149.46,0.10998,0.07313,0.12722,0.14397,-0.11,0.068,13.743,2.564,290180071424,149332787200,193328283648,5.19,0.8,,yfinance,0.2.65,1
2026-09-22,IFSH,PT Ifishdeco Tbk,Basic Materials,Other Industrial Metals & Mining,IDR,EQUITY,960.0,1846365519872,1923297400,15.0188,,2.195,63.92,437.37,0.18739,0.21176,0.09471,0.37812,,1.614,6.203,5.904,93155082240,262310838272,55560196096,2.45,0.4065,,yfinance,0.2.65,1
2026-09-22,IMAS,PT Indomobil Sukses Internasional Tbk,Consumer Cyclical,Auto & Truck Dealerships,IDR,EQUITY,860.0,3435090149376,3994291039,34.2629,8.3495,0.2424,25.1,3547.19,0.00864,0.02853,0.00303,0.03205,-0.749,0.227,339.57,0.924,-612125245440,4972464832512,56908169871360,0.45,0.0,0.58,yfinance,0.2.65,1
2026-09-22,IMPC,PT Impack Pratama Industri Tbk,Industrials,Building Products & Equipment,IDR,EQUITY,1570.0,85855884541952,54685279100,111.9829,,27.2045,14.02,57.71,0.26489,0.12667,0.1594,0.23948,0.689,0.339,31.085,2.44,296881684480,479224102912,1060939104256,,0.0,,yfinance,0.2.65,1
2026-09-22,INCO,PT Vale Indonesia Tbk,Basic Materials,Other Industrial Metals & Mining,IDR,EQUITY,4730.0,49853178576896,10539784534,18.1004,23.2535,17583.643,261.32,0.27,0.05584,0.0288,0.14025,0.26836,16.63,0.319,0.056,1.584,-221326496,110662000,1582000,1.64,0.2954,4.56,yfinance,0.2.65,1
2026-09-22,INDF,PT Indofood Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,6925.0,60804451794944,8780426500,6.3516,5.3269,0.7932,1090.28,8730.95,0.12137,0.06997,0.07409,0.18085,-0.433,0.118,63.789,2.029,11974183223296,64252073213952,79552919371776,4.14,0.2661,4.02,yfinance,0.2.65,1
2026-09-22,INDR,PT. Indo-Rama Synthetics Tbk,Consumer Cyclical,Textile Manufacturing,IDR,EQUITY,2740.0,1792923664384,654351707,9.8867,,4740.4844,277.14,0.58,0.01168,0.0065,-0.00362,0.06191,,0.255,31.206,1.012,-17249702,18030904,120721872,,0.0,3.04,yfinance,0.2.65,1
2026-09-22,INDS,PT Indospring Tbk,Consumer Cyclical,Auto Parts,IDR,EQUITY,248.0,1627499266048,6562497100,25.4359,,0.4755,9.75,521.57,0.02472,0.01862,0.01789,0.04459,0.632,0.254,6.926,2.676,-17929353216,57341501440,250973569024,1.98,0.5128,3.56,yfinance,0.2.65,1
2026-09-22,INDY,PT. Indika Energy Tbk,Energy,Thermal Coal,IDR,EQUITY,2610.0,13579026694144,5202692000,52.5257,7.943,11298.701,49.69,0.23,0.03069,0.03252,0.00629,0.09327,,0.399,94.428,2.071,19446804,649958016,1274259328,0.38,0.205,3.46,yfinance,0.2.65,1
2026-09-22,INET,PT Sinergi Inti Andalan Prima Tbk,Communication Services,Telecom Services,IDR,EQUITY,312.0,6981858885632,22377753318,132.766,,6.9649,2.35,44.8,0.0249,0.01792,0.0519,0.07924,25.555,15.5,46.745,2.835,-304862068736,4336912957440,1780486504448,0.01,0.0209,,yfinance,0.2.65,1
2026-09-22,INKP,PT Indah Kiat Pulp & Paper Tbk,Basic Materials,Paper & Paper Products,IDR,EQUITY,8575.0,46913680310272,5470982941,3.9872,5.6497,6520.912,2150.61,1.31,0.09631,0.03565,0.20011,0.17941,8.165,0.132,72.12,2.733,-7098125,3878605056,5187321856,0.87,0.0346,0.64,yfinance,0.2.65,1
2026-09-22,INPC,PT Bank Artha Graha Internasional Tbk,Financial Services,Banks - Regional,IDR,EQUITY,150.0,3033511755776,20223412907,,,0.7835,-26.84,191.45,-0.13129,-0.01856,-0.4014,0.09397,-0.481,0.148,,,,1870731018240,688274997248,,0.0,,yfinance,0.2.65,1
2026-09-22,INPP,PT Indonesian Paradise Property Tbk,Real Estate,Real Estate Services,IDR,EQUITY,700.0,7827380240384,11181971732,263.1579,,1.3648,2.66,512.91,0.03049,0.02045,0.01732,0.18812,-0.423,-0.093,33.465,2.836,412526247936,742643990528,2262829105152,0.64,1.8727,,yfinance,0.2.65,1
2026-09-22,INTP,PT Indocement Tunggal Prakarsa Tbk,Basic Materials,Building Materials,IDR,EQUITY,5175.0,17755803746304,3431073399,7.3287,10.5655,0.7686,706.13,6732.8,0.10689,0.04378,0.12913,0.08695,0.345,0.136,12.218,1.465,2232968282112,3911459012608,2701245022208,8.91,0.6626,3.86,yfinance,0.2.65,1
2026-09-22,IPCC,PT Indonesia Kendaraan Terminal Tbk,Industrials,Integrated Freight & Logistics,IDR,EQUITY,1085.0,1972947517440,1818384820,8.0222,5.267,1.5102,135.25,718.47,0.19124,0.09751,0.26506,0.28011,-0.195,-0.005,36.414,3.826,266123411456,1110986588160,475727233024,10.21,0.8343,,yfinance,0.2.65,1
2026-09-22,IPCM,PT Jasa Armada Indonesia Tbk,Industrials,Marine Shipping,IDR,EQUITY,290.0,1532595273728,5284811100,8.7799,,1.1562,33.03,250.83,0.129,0.07858,0.11704,0.06741,-0.51,0.067,3.132,2.493,428917719040,546829107200,41516515328,8.19,0.719,7.17,yfinance,0.2.65,1
2026-09-22,IPTV,PT MNC Vision Networks Tbk,Communication Services,Entertainment,IDR,EQUITY,28.0,1181542645760,20807078184,,,0.2036,-5.43,137.51,-0.03506,0.00026,-0.15982,-0.08517,,-0.266,8.018,2.785,399597862912,14638999552,472647008256,,0.0,,yfinance,0.2.65,1
2026-09-22,IRSX,PT Folago Global Nusantara Tbk,Technology,Software - Application,IDR,EQUITY,432.0,2676260601856,6195047377,87.2727,,8.8528,4.95,48.8,0.15492,0.09835,0.05511,0.03905,,2.334,0.57,5.719,-25546868736,126987730944,1805768448,0.04,0.0344,,yfinance,0.2.65,1
2026-09-22,ISAT,PT Indosat Tbk,Communication Services,Telecom Services,IDR,EQUITY,2410.0,77724454486016,32250810956,10.3808,12.0929,2.0978,232.16,1148.8,0.20238,0.05956,0.12459,0.21242,1.751,0.14,176.375,0.665,9526061301760,15781625593856,70718322638848,4.81,0.4784,1.83,yfinance,0.2.65,1
2026-09-22,ISSP,PT Steel Pipe Industry of Indonesia Tbk,Basic Materials,Steel,IDR,EQUITY,404.0,2848797229056,7051478435,5.0792,,0.4932,79.54,819.17,0.10294,0.05468,0.09121,0.15699,0.271,0.211,62.376,2.048,-1148275392512,701200007168,3596931039232,4.95,0.2514,3.37,yfinance,0.2.65,1
2026-09-22,ITMA,PT Sumber Energi Andalan Tbk,Basic Materials,Other Industrial Metals & Mining,IDR,EQUITY,1435.0,1433641287680,999053167,45.0408,,6612.9033,31.86,0.22,0.00797,0.00107,0.58267,0.18812,,0.291,7.322,0.594,-2981523,540154,15951328,,0.0,,yfinance,0.2.65,1
2026-09-22,ITMG,PT Indo Tambangraya Megah Tbk,Energy,Thermal Coal,IDR,EQUITY,25975.0,28642639872000,1102700300,7.7088,6.312,15075.449,3369.54,1.72,0.11119,0.07141,0.10496,0.12782,1.004,0.151,5.2,3.458,203206128,804017024,99339000,6.62,0.5342,16.98,yfinance,0.2.65,1
2026-09-22,JARR,PT Jhonlin Agro Raya Tbk,Consumer Defensive,Farm Products,IDR,EQUITY,3280.0,30276579229696,9230665050,112.8311,,15.0186,29.07,218.4,0.1396,0.06551,0.06673,0.15905,0.168,-0.172,85.673,3.954,-9352458240,456938127360,1727116083200,0.2,0.2247,,yfinance,0.2.65,1
2026-09-22,JAWA,PT Jaya Agra Wattie Tbk,Consumer Defensive,Farm Products,IDR,EQUITY,180.0,2921931210752,16232951842,,,2.1397,-3.18,84.12,-0.03736,0.02853,-0.03223,0.20434,1.951,-0.039,171.508,0.876,-132236247040,3567855104,2355250855936,,0.0,,yfinance,0.2.65,1
2026-09-22,JGLE,PT Graha Andrasentra Propertindo Tbk,Consumer Cyclical,Leisure,IDR,EQUITY,66.0,1490406080512,22581909405,,,1.3922,-1.91,47.41,-0.03989,0.0025,-0.27534,0.02348,,-0.007,22.386,0.826,23355750400,6988000256,239758000128,,0.0,,yfinance,0.2.65,1
2026-09-22,JIHD,PT Jakarta International Hotels & Development Tbk,Consumer Cyclical,Lodging,IDR,EQUITY,426.0,992171196416,2329040482,,,0.2818,-93.1,1511.79,-0.02308,-0.01911,-0.13436,0.01709,-0.506,0.013,14.012,0.859,127462957056,585978413056,649052422144,,0.0,,yfinance,0.2.65,1
2026-09-22,JKON,PT Jaya Konstruksi Manggala Pratama Tbk,Industrials,Conglomerates,IDR,EQUITY,82.0,1337298649088,16308519860,4.8122,,0.3988,17.04,205.63,0.08545,0.032,0.05888,0.07693,,0.886,2.415,2.214,-4162765312,364910772224,82100314112,2.38,0.1174,1.01,yfinance,0.2.65,1
2026-09-22,JPFA,PT Japfa Comfeed Indonesia Tbk,Consumer Defensive,Farm Products,IDR,EQUITY,2270.0,26394809597952,8716079901,5.0556,10.9377,1.3404,449.01,1693.54,0.29183,0.11465,0.07644,0.06056,0.17,0.342,76.241,1.493,-3049048506368,2600607940608,16265329508352,6.17,0.3118,2.47,yfinance,0.2.65,1
2026-09-22,JRPT,"PT Jaya Real Property, Tbk.",Real Estate,Real Estate - Development,IDR,EQUITY,1135.0,14553914015744,12822832300,10.5327,15.0931,1.3306,107.76,852.99,0.1307,0.05946,0.39935,0.43105,0.125,0.122,0.055,1.259,914018729984,1769993535488,6209344000,2.7,0.2876,3.54,yfinance,0.2.65,1
2026-09-22,JSMR,PT Jasa Marga (Persero) Tbk,Industrials,Infrastructure Operations,IDR,EQUITY,2760.0,20031725371392,7257871199,5.422,5.4527,0.5394,509.04,5116.48,0.08245,0.03936,0.12726,0.39038,0.202,-0.038,123.483,0.504,-5676627656704,7106109898752,78078671847424,5.58,0.3069,1.01,yfinance,0.2.65,1
2026-09-22,JSPT,PT Jakarta Setiabudi Internasional Tbk,Real Estate,Real Estate Services,IDR,EQUITY,1445.0,3350573350912,2318736000,7.4114,,1.2631,194.97,1144.02,0.16856,0.08037,0.16871,0.36143,0.941,0.18,70.752,1.823,741411782656,2021202067456,2429486628864,1.72,0.1282,,yfinance,0.2.65,1
2026-09-22,JTPE,PT Jasuindo Tiga Perkasa Tbk,Industrials,Specialty Business Services,IDR,EQUITY,590.0,4006884671488,6791330000,11.5302,,3.2534,51.17,181.35,0.27859,0.14154,0.12556,0.17266,0.802,0.282,12.053,1.434,352156942336,670459691008,165870419968,5.21,0.6056,4.39,yfinance,0.2.65,1
2026-09-22,KAEF,PT Kimia Farma Tbk,Healthcare,Medical Distribution,IDR,EQUITY,434.0,2415899705344,5566589677,,,0.8342,-41.23,520.25,-0.0834,-0.00197,-0.02403,0.03174,,0.213,266.222,1.034,-145253007360,445472374784,7426876637184,,0.0,0.69,yfinance,0.2.65,1
2026-09-22,KBLI,PT KMI Wire and Cable Tbk,Industrials,Electrical Equipment & Parts,IDR,EQUITY,354.0,1418561191936,560000000,6.5531,,0.4888,54.02,724.26,0.07533,0.04122,0.05209,0.05419,0.415,0.38,8.0,4.321,-276292042752,307529744384,240956850176,5.49,0.3704,,yfinance,0.2.65,1
2026-09-22,KEEN,PT Kencana Energi Lestari Tbk,Utilities,Utilities - Independent Power Producers,IDR,EQUITY,850.0,3116365512704,3666312500,31.9669,,17346.94,26.59,0.05,0.03179,0.02482,0.17802,0.46165,-0.374,-0.139,49.552,1.555,17279866,1526695,101582176,0.96,0.3053,0.92,yfinance,0.2.65,1
2026-09-22,KEJU,PT Mulia Boga Raya Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,595.0,3346875023360,5624999999,17.3015,13.8404,3.913,34.39,152.06,0.24016,0.12141,0.10839,0.12337,0.391,0.55,11.721,1.772,-166111657984,166673072128,99999997952,2.69,0.4648,,yfinance,0.2.65,1
2026-09-22,KETR,PT Ketrosden Triasmitra,Technology,Communication Equipment,IDR,EQUITY,925.0,2628168187904,2841262838,36.0343,,2.1415,25.67,431.94,0.06104,0.05243,0.11678,0.2448,-0.85,-0.599,58.465,2.683,-19248971776,251719319552,718775123968,,0.0,,yfinance,0.2.65,1
2026-09-22,KIJA,PT Kawasan Industri Jababeka Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,172.0,3577055019008,711956815,,6.88,0.5909,-3.22,291.06,0.02854,0.04291,-0.01345,0.11219,,-0.133,62.627,5.648,570738999296,3207467106304,4863072141312,1.16,0.0831,,yfinance,0.2.65,1
2026-09-22,KING,PT Hoffmen Cleanindo Tbk,Industrials,Specialty Business Services,IDR,EQUITY,436.0,1134843527168,2602852170,,,16.2583,,26.82,0.04935,0.02245,0.03555,0.02756,-0.654,0.004,159.378,0.766,-35615461376,28616126464,111225724928,,,,yfinance,0.2.65,1
2026-09-22,KINO,PT Kino Indonesia Tbk,Consumer Defensive,Beverages - Non-Alcoholic,IDR,EQUITY,1380.0,1902770126848,1378818900,8.5688,8.5185,1.036,161.05,1332.05,0.12814,0.04084,0.0452,0.07658,4.765,0.33,76.89,0.691,395376001024,183955668992,1417037086720,3.26,0.2795,1.73,yfinance,0.2.65,1
2026-09-22,KKGI,PT Resource Alam Indonesia Tbk,Energy,Thermal Coal,IDR,EQUITY,326.0,1588705361920,4873329400,22.9255,,10866.667,14.22,0.03,0.01926,0.03854,0.02332,0.10575,10.1,0.124,1.779,4.134,17393754,44673164,2576074,9.7,2.1063,7.89,yfinance,0.2.65,1
2026-09-22,KLBF,PT Kalbe Farma Tbk.,Healthcare,Drug Manufacturers - General,IDR,EQUITY,740.0,33484156436480,45248860110,9.2988,9.8917,1.3763,79.58,537.67,0.14768,0.09224,0.09568,0.11865,-0.004,0.182,3.208,3.153,1983777865728,4985231245312,826475020288,2.67,0.2513,2.36,yfinance,0.2.65,1
2026-09-22,KMTR,PT Kirana Megatara Tbk,Consumer Cyclical,Auto Parts,IDR,EQUITY,250.0,2053841485824,8215366379,,,0.9674,-3.88,258.44,-0.01844,0.02344,-0.00268,0.02455,,-0.033,140.093,1.313,-327294418944,313619447808,3026750275584,,0.0,,yfinance,0.2.65,1
2026-09-22,KOTA,PT DMS Propertindo Tbk,Real Estate,Real Estate Services,IDR,EQUITY,180.0,1898287857664,10546043868,26.8657,,1.5289,6.7,117.73,0.05898,0.02623,0.41621,0.37685,,1.932,45.91,2.516,-272756948992,7741249024,575520112640,,0.0,,yfinance,0.2.65,1
2026-09-22,KPIG,PT MNC Tourism Indonesia Tbk,Real Estate,Real Estate Services,IDR,EQUITY,64.0,6868021805056,107312842189,10.4746,,0.2326,6.11,275.15,0.02136,0.01102,0.23339,0.0235,-0.329,0.05,18.546,0.705,-437936128000,157733781504,5551443410944,,0.0,,yfinance,0.2.65,1
2026-09-22,KRAS,PT Krakatau Steel (Persero) Tbk,Basic Materials,Steel,IDR,EQUITY,228.0,4410978598912,19346396899,0.546,9.12,6514.2856,417.62,0.04,0.82189,-0.01239,0.3938,-0.02767,,0.594,161.016,0.853,-446284512,89389000,1178352000,,0.0,,yfinance,0.2.65,1
2026-09-22,LIFE,PT MSIG Life Insurance Indonesia Tbk,Financial Services,Insurance - Life,IDR,EQUITY,10400.0,21840000974848,2100000000,78.1309,,2.6657,133.11,3901.47,0.03388,0.01315,0.10229,0.14127,0.038,0.02,0.136,12.465,302870626304,4684365955072,11136000000,0.84,0.7218,1.91,yfinance,0.2.65,1
2026-09-22,LINK,PT Link Net Tbk,Communication Services,Telecom Services,IDR,EQUITY,1700.0,4681721446400,2753953884,,4.4547,1.7189,-585.08,989.0,-0.45753,-0.04812,-0.56004,-0.37602,,-0.078,312.021,0.233,480690503680,213035008000,8498432180224,,0.0,4.46,yfinance,0.2.65,1
2026-09-22,LPCK,PT Lippo Cikarang Tbk,Real Estate,Real Estate - Development,IDR,EQUITY,590.0,3029464514560,5134685692,11.5732,0.6367,0.4407,50.98,1338.93,0.03504,0.01476,0.06174,0.18644,2.372,-0.244,11.621,2.954,-439395876864,352356990976,792414978048,,0.0,,yfinance,0.2.65,1
2026-09-22,LPGI,PT Lippo General Insurance Tbk,Financial Services,Insurance - Diversified,IDR,EQUITY,645.0,1934999945216,3000000000,12.0764,,1.7333,53.41,372.13,0.14994,0.03608,0.03179,0.04507,-0.047,0.21,,0.784,1607531495424,92262359040,0,1.55,0.1887,3.79,yfinance,0.2.65,1
2026-09-22,LPKR,PT Lippo Karawaci Tbk,Healthcare,Medical Care Facilities,IDR,EQUITY,52.0,3684582293504,70857354569,5.1434,19.403,0.1211,10.11,429.34,0.02593,0.0102,0.08592,0.15482,,-0.121,31.687,3.795,-514808741888,1615790997504,9937420812288,,0.0,,yfinance,0.2.65,1
2026-09-22,LPPF,PT MDS Retailing Tbk,Consumer Cyclical,Department Stores,IDR,EQUITY,1575.0,1843098943488,1395970,4.5393,4.6379,11.6745,346.97,134.91,2.29176,0.15766,0.13134,0.00516,,0.006,828.737,0.606,1101123813376,240075997184,2490180042752,15.82,0.7205,6.13,yfinance,0.2.65,1
2026-09-22,LTLS,PT Lautan Luas Tbk,Basic Materials,Specialty Chemicals,IDR,EQUITY,985.0,1442718416896,1464688800,7.6833,,0.4362,128.2,2258.01,0.07572,0.05141,0.02005,0.10433,1.148,0.363,44.175,1.226,178473877504,421122998272,1587481935872,3.1,0.2419,4.8,yfinance,0.2.65,1
2026-09-22,MAHA,PT Mandiri Herindo Adiperkasa Tbk,Industrials,Trucking,IDR,EQUITY,147.0,2410060709888,16394970000,6.4901,,1.314,22.65,111.87,0.20763,0.12962,0.11122,0.0873,28.562,0.571,30.919,1.668,175851601920,270881374208,570725105664,8.0,0.5298,,yfinance,0.2.65,1
2026-09-22,MAIN,PT Malindo Feedmill Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,670.0,1494433398784,2230497500,3.221,7.0378,0.5217,208.01,1284.21,0.1734,0.06861,0.03351,-0.00776,,0.229,87.621,1.449,-475349516288,558558937088,2507559665664,7.82,0.25,,yfinance,0.2.65,1
2026-09-22,MAPA,PT Map Aktif Adiperkasa Tbk,Consumer Cyclical,Specialty Retail,IDR,EQUITY,690.0,19667760447488,28504000000,10.1515,10.7544,2.0555,67.97,335.69,0.21906,0.11777,0.09331,0.11537,0.221,0.155,26.274,2.123,867432857600,1160434941952,2546172952576,0.57,0.1176,,yfinance,0.2.65,1
2026-09-22,MAPB,PT Map Boga Adiperkasa Tbk,Consumer Cyclical,Restaurants,IDR,EQUITY,1135.0,2710292660224,2387922900,,,2.1245,-80.0,534.24,-0.14006,-0.03193,-0.05672,-0.04315,,0.08,35.964,0.627,283596128256,317240999936,458804985856,,0.0,,yfinance,0.2.65,1
2026-09-22,MAPI,PT. Mitra Adiperkasa Tbk,Consumer Cyclical,Department Stores,IDR,EQUITY,1490.0,24734001528832,16600000000,10.0034,10.8002,1.614,148.95,923.18,0.17613,0.07938,0.05212,0.07717,0.197,0.155,47.511,1.635,2637007683584,5550011056128,8903789117440,0.67,0.1342,0.55,yfinance,0.2.65,1
2026-09-22,MARK,PT Mark Dynamics Indonesia Tbk,Healthcare,Medical Instruments & Supplies,IDR,EQUITY,1135.0,4313000181760,3800000310,12.8118,,4.8365,88.59,234.67,0.37979,0.2527,0.32712,0.36091,0.64,0.808,0.376,4.2,186164854784,43210399744,3366350080,7.96,1.0164,6.52,yfinance,0.2.65,1
2026-09-22,MASB,PT Bank Multiarta Sentosa Tbk,Financial Services,Banks - Regional,IDR,EQUITY,3200.0,4486434652160,1402010763,21.0582,,1.0889,151.96,2938.71,0.05243,0.00677,0.20435,0.27661,0.089,0.178,,,,1640926674944,5802893824,0.69,0.0,,yfinance,0.2.65,1
2026-09-22,MAYA,PT Bank Mayapada Internasional Tbk,Financial Services,Banks - Regional,IDR,EQUITY,202.0,5285907267584,388256500,71.8861,,0.2721,2.81,742.37,0.00371,0.00042,0.02316,0.08257,1.993,0.009,,,,12394099113984,573728030720,,0.0,,yfinance,0.2.65,1
2026-09-22,MBAP,PT Mitrabara Adiperdana Tbk,Energy,Thermal Coal,IDR,EQUITY,1725.0,2117044142080,1227271952,32.3761,,11348.685,53.28,0.15,0.02135,0.01924,0.02254,0.12539,2.68,0.39,21.327,5.055,-8818104,113435208,39994276,2.9,0.0,10.51,yfinance,0.2.65,1
2026-09-22,MBMA,PT Merdeka Battery Materials Tbk.,Basic Materials,Other Industrial Metals & Mining,IDR,EQUITY,510.0,55077666553856,107995419900,49.5627,32.5879,34000.0,10.29,0.01,0.07353,0.03929,0.04133,0.25139,,0.243,45.514,1.597,-18074428,349798048,1110869376,,0.0,,yfinance,0.2.65,1
2026-09-22,MBSS,PT Mitrabahtera Segara Sejati Tbk,Industrials,Marine Shipping,IDR,EQUITY,2900.0,5075077431296,1750026639,13.6799,,1.2356,211.99,2346.95,0.09428,0.01219,0.48224,0.1771,3.029,-0.049,13.007,8.684,-325406752768,2143663685632,536697667584,,0.0,,yfinance,0.2.65,1
2026-09-22,MCOL,PT Prima Andalan Mandiri Tbk,Energy,Thermal Coal,IDR,EQUITY,3650.0,12977794187264,3555560000,9.0911,,23397.436,401.49,0.16,0.14837,0.09494,0.10898,0.12878,0.216,0.306,9.955,2.589,143418672,159311632,58118460,7.61,0.7087,,yfinance,0.2.65,1
2026-09-22,MCOR,PT Bank China Construction Bank Indonesia Tbk,Financial Services,Banks - Regional,IDR,EQUITY,67.0,2540622053376,37919730514,8.3855,,0.3492,7.99,191.87,0.04242,0.00834,0.31804,0.40326,0.019,0.099,,,,2021228937216,3823679045632,,0.0,,yfinance,0.2.65,1
2026-09-22,MDIY,PT Daya Intiguna Yasa Tbk,Consumer Cyclical,Department Stores,IDR,EQUITY,940.0,23678968397824,25190392000,19.8396,15.233,5.4893,47.38,171.24,0.30323,0.14385,0.13505,0.16977,0.012,0.184,51.906,1.295,1817390219264,911479996416,2291643973632,3.65,0.372,,yfinance,0.2.65,1
2026-09-22,MEDC,PT Medco Energi Internasional Tbk,Energy,Oil & Gas E&P,IDR,EQUITY,1495.0,36897531363328,24680621344,13.7902,4.3429,16797.752,108.41,0.09,0.06968,0.04979,0.06153,0.2503,2.878,0.192,155.798,1.118,287040288,533900448,3748962304,4.37,0.5325,2.42,yfinance,0.2.65,1
2026-09-22,MEGA,PT Bank Mega Tbk,Financial Services,Banks - Regional,IDR,EQUITY,1925.0,45202551078912,23481846730,13.7943,,2.021,139.55,952.49,0.14693,0.02389,0.45262,0.4868,-0.245,-0.066,,,,5806747025408,28661457616896,4.39,0.6163,4.54,yfinance,0.2.65,1
2026-09-22,MERK,PT Merck Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,IDR,EQUITY,3840.0,1720320000000,448000000,5.1686,,1.784,742.95,2152.43,0.3714,0.24114,0.24665,0.1778,4.002,0.31,1.811,4.995,193425260544,328000012288,17460400128,7.05,0.3701,6.2,yfinance,0.2.65,1
2026-09-22,MGLV,PT NexAI Digital Infrastruktur Tbk,Consumer Cyclical,"Furnishings, Fixtures & Appliances",IDR,EQUITY,16225.0,30906733559808,1904883411,,,272.8909,-16.53,59.46,-0.2513,-0.1064,-0.63696,-0.52773,,-0.746,21.886,2.497,-5169294848,1291685120,25001328640,,0.0,,yfinance,0.2.65,1
2026-09-22,MGRO,PT Mahkota Group Tbk,Consumer Defensive,Packaged Foods,IDR,EQUITY,680.0,2372095442944,3488375600,,,7.6025,-10.48,89.44,-0.09038,0.01041,-0.0055,0.00831,,0.094,584.615,0.607,616627044352,143291138048,2215179190272,,0.0,,yfinance,0.2.65,1
2026-09-22,MIDI,PT Midi Utama Indonesia Tbk,Consumer Defensive,Grocery Stores,IDR,EQUITY,262.0,8760047697920,33435294800,9.8682,11.7278,1.8913,26.55,138.53,0.19772,0.07678,0.04126,0.05229,0.101,0.108,13.445,0.993,848830136320,533368995840,622707015680,4.45,0.4463,1.38,yfinance,0.2.65,1
2026-09-22,MIKA,PT Mitra Keluarga Karyasehat Tbk,Healthcare,Medical Care Facilities,IDR,EQUITY,1740.0,24197573115904,13906650800,17.153,18.3932,3.3079,101.44,526.01,0.18961,0.11618,0.25281,0.32034,0.092,0.094,0.112,2.785,410588774400,3018780835840,9294010368,2.47,0.4241,1.51,yfinance,0.2.65,1
2026-09-22,MINA,PT Sanurhasta Mitra Tbk,Consumer Cyclical,Lodging,IDR,EQUITY,236.0,2323124846592,9843750000,,,9.2731,-0.12,25.45,-0.00464,-0.01692,-0.08429,-0.39404,,-0.095,0.05,135.299,-8211831296,153299173376,125984072,,0.0,,yfinance,0.2.65,1
