as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,PRDA,Healthcare,2820.0,2509166870528,11.8204,1.0725,238.57,0.0922,0.05934,0.896,5.77,0.6821
2026-09-22,PRDA,Healthcare,2820.0,2509166870528,11.8204,1.0725,238.57,0.0922,0.05934,0.896,5.77,0.6821
