as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,NIRO,Real Estate,175.0,3884802637824,,2.3228,-8.75,-0.10085,0.01845,167.963,,0.0
2026-09-22,NIRO,Real Estate,174.0,3862603759616,,2.3096,-8.75,-0.10085,0.01845,167.963,,0.0
