as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,IPCC,Industrials,1095.0,1991131267072,8.0961,1.5241,135.25,0.19124,0.09751,36.414,10.21,0.8343
2026-09-22,IPCC,Industrials,1085.0,1972947517440,8.0222,1.5102,135.25,0.19124,0.09751,36.414,10.21,0.8343
