as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,MCOR,Financial Services,67.0,2540622053376,8.3855,0.3492,7.99,0.04242,0.00834,,,0.0
2026-09-22,MCOR,Financial Services,67.0,2540622053376,8.3855,0.3492,7.99,0.04242,0.00834,,,0.0
