as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,DMAS,Real Estate,185.0,8916650950656,5.7169,1.2726,32.36,0.23542,0.11767,0.015,8.73,0.5099
2026-09-22,DMAS,Real Estate,185.0,8916650950656,5.7169,1.2726,32.36,0.23542,0.11767,0.015,8.73,0.5099
