as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,ABMM,Energy,2720.0,7488608927744,5.1249,8421.053,530.74,0.09491,0.01878,103.092,3.54,0.1819
2026-09-22,ABMM,Energy,2720.0,7488608927744,5.173,8421.053,525.81,0.09491,0.01878,103.092,3.54,0.1819
