as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,WINS,Industrials,575.0,2570125049856,6.7599,14375.0,85.06,0.16349,0.07089,30.026,1.52,0.0852
2026-09-22,WINS,Industrials,580.0,2592473874432,6.8187,15263.158,85.06,0.16349,0.07089,30.026,1.52,0.0852
