as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,HATM,Industrials,510.0,4753199726592,93.4066,2.7027,5.46,0.02388,0.01852,8.06,0.39,0.3676
2026-09-22,HATM,Industrials,510.0,4753199726592,93.4066,2.7027,5.46,0.02388,0.01852,8.06,0.39,0.3676
