as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,TBLA,Consumer Defensive,620.0,3722573774848,4.2183,0.385,146.98,0.09525,0.05644,197.4,9.6,0.4082
2026-09-22,TBLA,Consumer Defensive,620.0,3722573774848,4.2183,0.385,146.98,0.09525,0.05644,197.4,9.6,0.4082
