as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,DLTA,Consumer Defensive,1785.0,1429176451072,9.6711,2.1221,184.57,0.20311,0.07973,0.696,10.14,0.9784
2026-09-22,DLTA,Consumer Defensive,1785.0,1429176451072,9.644,2.1221,185.09,0.20311,0.07973,0.696,10.14,0.9784
