as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,BSML,Industrials,545.0,1008372613120,165.1015,7.5947,3.3,0.01463,0.00664,13.346,,
2026-09-22,BSML,Industrials,545.0,1008372613120,165.1015,7.5947,3.3,0.01463,0.00664,13.346,,
