as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,BCIC,Financial Services,135.0,2444839354368,,0.6235,-42.15,-0.11706,-0.01151,,,
2026-09-22,BCIC,Financial Services,134.0,2426729398272,,0.6189,-42.15,-0.11706,-0.01151,,,
