as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,AGRS,Financial Services,57.0,2728269971456,10.1243,0.4609,5.63,0.03757,0.00927,,,0.0
2026-09-22,AGRS,Financial Services,58.0,2776134320128,10.302,0.469,5.63,0.03757,0.00927,,,0.0
