as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,ISAT,Communication Services,2380.0,76756929216512,10.2516,2.0717,232.16,0.20238,0.05956,176.375,4.81,0.4784
2026-09-22,ISAT,Communication Services,2410.0,77724454486016,10.3808,2.0978,232.16,0.20238,0.05956,176.375,4.81,0.4784
