as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,EXCL,Communication Services,2410.0,43861669838848,,1.519,-249.02,-0.13436,-0.00686,204.323,6.57,0.3827
2026-09-22,EXCL,Communication Services,2430.0,44225668317184,,1.5316,-249.02,-0.13436,-0.00686,204.323,6.57,0.3827
