as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,NATO,Consumer Cyclical,1110.0,8881234247680,,4.2432,-10.28,-0.13017,-0.05693,5.866,,0.0
2026-09-22,NATO,Consumer Cyclical,1110.0,8881234247680,,4.2432,-10.97,-0.13017,-0.05693,5.866,,0.0
