as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,PNGO,Consumer Defensive,3520.0,2749999874048,8.5106,2.1764,413.6,0.2802,0.16498,18.696,6.25,0.5201
2026-09-22,PNGO,Consumer Defensive,3520.0,2749999874048,8.5106,2.1764,413.6,0.2802,0.16498,18.696,6.25,0.5201
