as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,DMMX,Communication Services,186.0,1350254854144,34.0037,1.9905,5.47,0.05786,0.02707,8.091,2.96,1.0073
2026-09-22,DMMX,Communication Services,186.0,1350254854144,34.0037,1.9905,5.47,0.05786,0.02707,8.091,2.96,1.0073
