as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,ANJT,Consumer Defensive,1570.0,5266054578176,,1.2385,-140.27,-0.09622,0.08276,49.173,,0.0
2026-09-22,ANJT,Consumer Defensive,1580.0,5299596427264,,1.2464,-140.27,-0.09622,0.08276,49.173,,0.0
