as_of,ticker,sector,price,market_cap,pe_trailing,pbv,eps_ttm,roe,roa,debt_to_equity,dividend_yield,payout_ratio
2026-09-22,RSCH,Healthcare,432.0,1144799887360,,9.501,,-0.12072,-0.02292,51.346,,
2026-09-22,RSCH,Healthcare,434.0,1150099914752,,9.545,,-0.12072,-0.02292,51.346,,
